inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id
CANTABRIA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/logo-23-20231027061758.jpg,Reserva 748,Entrega Inmediata,350000,Av. Arequipa 748 -768,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/1301-reserva-748/departamentos-cercado-de-lima-5e1f51fbe068f_xm.jpg,Cercado de lima,150101
CASA BONITA,https://e.nexoinmobiliario.pe/customers/casa-bonita-inmobiliaria/logo-189-20240228140328.jpg,Central Home,Entrega Inmediata,384900,Av Petit Thouars 951,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita,https://e.nexoinmobiliario.pe/customers/casa-bonita-inmobiliaria/1816-central-home/departamentos-cercado-de-lima-676494a3ccc2b_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,Edificio Los Pinos III,Entrega Inmediata,477000,Jr. Manuel del Pino 638,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1866-edificio-los-pinos-iii-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/1866-edificio-los-pinos-iii/departamentos-cercado-de-lima-67226a0d4877d_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,Edificio Vista Verde,Entrega Inmediata,359550,Jr. Torres Paz 834,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-edificio-vista-verde-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/1867-edificio-vista-verde/departamentos-cercado-de-lima-67226719b62cf_xm.jpg,Cercado de lima,150101
URBANA PERÚ,https://e.nexoinmobiliario.pe/customers/urbana-peru/logo-84-20231027061800.jpg,S14 Apartments,Entrega Inmediata,440000,Avenida Arequipa N°1437,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú,https://e.nexoinmobiliario.pe/customers/urbana-peru/1993-s14-apartments/departamentos-cercado-de-lima-6769f3002badb_xm.jpg,Cercado de lima,150101
CASAIDEAL INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/logo-53-20231027061759.jpg,UNITY,Entrega Inmediata,396100,"Av. Arenales N° 1109, Cercado de Lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/2084-unity/departamentos-cercado-de-lima-66f31bca4e05c_xm.jpg,Cercado de lima,150101
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Las Magnolias,Entrega Inmediata,478000,Av. Petit Thouars 1460,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2213-checor-las-magnolias/departamentos-cercado-de-lima-66f736c755d41_xm.jpg,Cercado de lima,150101
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,Invent Tirado,En Construcción,299187,Tirado 629,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2253-invent-tirado/departamentos-cercado-de-lima-677c542e4c8e9_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,Smart A,Entrega Inmediata,411000,Jr. Enrique Barron 1149,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/2308-smart-a/departamentos-cercado-de-lima-672265bbebd50_xm.jpg,Cercado de lima,150101
EUREKA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-eureka-sac/logo-194-20231027061803.jpg,Park Living,Entrega Inmediata,385870,Av. Petit Thouars 965,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka,https://e.nexoinmobiliario.pe/customers/inmobiliaria-eureka-sac/2324-park-living/departamentos-cercado-de-lima-65c508a23b151_xm.jpg,Cercado de lima,150101
CANTABRIA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/logo-23-20231027061758.jpg,Duetto 846,Entrega Inmediata,345000,Av. Alejandro Bertello 846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/2462-duetto-846/departamentos-cercado-de-lima-667b3a381078a_xm.jpg,Cercado de lima,150101
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Las Dalias,Entrega Inmediata,483000,Jr. Enrique Barrón 1366 - Santa Beatriz,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2641-checor-las-dalias-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2641-checor-las-dalias/departamentos-cercado-de-lima-6793afe566ab2_xm.jpg,Cercado de lima,150101
BESCO,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/logo-68-20231027061759.jpg,Alameda Central Condominio,En Construcción,257000,Av. Oscar R. Benavides 1140 (Ex Av. Colonial),https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/2647-alameda-central-condominio/departamentos-cercado-de-lima-6709497cd8108_xm.jpg,Cercado de lima,150101
IMAGINA,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/logo-186-20240103165124.jpg,Alto Alborada,En Construcción,316293,Av. Venezuela 2575,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2660-alto-alborada-cercado-de-lima-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/2660-alto-alborada/departamentos-cercado-de-lima-679d152c93079_xm.jpg,Cercado de lima,150101
REDBAY INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/redbay-inmobiliaria/logo-470-20231027061813.jpg,HANAN,Entrega Inmediata,439900,Av. Oscar R. Benavides - Ex Colonial Nro. 605 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2711-hanan-cercado-de-lima-lima-lima-redbay-inmobiliaria,https://e.nexoinmobiliario.pe/customers/redbay-inmobiliaria/2711-hanan/departamentos-cercado-de-lima-672cd2ac0a718_xm.jpg,Cercado de lima,150101
TRIBECA INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/tribeca-inmobiliaria/logo-469-20240117125307.png,CENTRAL PARK,En Construcción,349569,Av. Arenales 1387,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2715-central-park-cercado-de-lima-lima-lima-tribeca-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tribeca-inmobiliaria/2715-central-park/departamentos-cercado-de-lima-679162983f733_xm.jpg,Cercado de lima,150101
IMAGINA,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/logo-186-20240103165124.jpg,Concepto Urban Park,Entrega Inmediata,464128,Av. Petit Thouars 1140,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-cercado-de-lima-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/2727-concepto-urban-park/departamentos-cercado-de-lima-679d15a013d2c_xm.jpg,Cercado de lima,150101
CIUDARIS,https://e.nexoinmobiliario.pe/customers/ciudaris/logo-20-20231027061758.jpg,CIUDARIS  I  ICONIK PARK,En Construcción,380000,Mariano Carranza 436,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2767-ciudaris-i-iconik-park-cercado-de-lima-lima-lima-ciudaris,https://e.nexoinmobiliario.pe/customers/ciudaris/2767-iconik-park/departamentos-cercado-de-lima-65a9289bc0c8d_xm.jpg,Cercado de lima,150101
LOS PORTALES DEPARTAMENTOS,https://e.nexoinmobiliario.pe/customers/los-portales-construye-s-a-c/logo-350-20231027061808.jpg,Gran Central Colonial II,En Construcción,237830,"Av. Óscar R. Benavides 2140, Cercado de Lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2825-gran-central-colonial-ii-cercado-de-lima-lima-lima-los-portales-departamentos,https://e.nexoinmobiliario.pe/customers/los-portales-construye-s-a-c/2825-gran-central-colonial-ii/departamentos-cercado-de-lima-67ad0a3988f67_xm.jpg,Cercado de lima,150101
RUMI GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/rumi-grupo-inmobiliario/logo-454-20231027061812.jpg,PIETRA  CENTRALE,En Planos,177379,Jr. Manuel del Pino 238-240,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2850-pietra-centrale-cercado-de-lima-lima-lima-rumi-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/rumi-grupo-inmobiliario/2850-pietra-centrale/departamentos-cercado-de-lima-67b52a60445a9_xm.jpg,Cercado de lima,150101
CANTABRIA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/logo-23-20231027061758.jpg,DUETTO 846 - FASE II,En Construcción,320000,Av. Alejandro Bertello 846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2888-duetto-846-fase-ii-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/2888-duetto-846-fase-ii/departamentos-pueblo-libre-66904faa0cc55_xm.jpg,Cercado de lima,150101
IMAGINA,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/logo-186-20240103165124.jpg,Alto Lima Park,En Construcción,317595,Av. Oscar R. Benavides 1106,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2907-alto-lima-park-cercado-de-lima-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/2907-alto-lima-park/departamentos-cercado-de-lima-679d163049703_xm.jpg,Cercado de lima,150101
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,Nueva Metrópolis,En Planos,274131,"Av. Alejandro Tirado 344, Santa Beatriz",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2912-nueva-metropolis-cercado-de-lima-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2912-nueva-metropolis/departamentos-cercado-de-lima-677c58240d8b1_xm.jpg,Cercado de lima,150101
BRAZIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/constructora-e-inmobiliaria-brazil-sac/logo-263-20231027061805.jpg,Santorini,En Construcción,255406,Av. Alejandro Tirado 731,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2965-santorini-cercado-de-lima-lima-lima-brazil-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/constructora-e-inmobiliaria-brazil-sac/2965-santorini/departamentos-cercado-de-lima-678eb5d28974b_xm.jpg,Cercado de lima,150101
INVERSIONES TIERRA BLANCA,https://e.nexoinmobiliario.pe/customers/inversiones-tierra-blanca-sac/logo-475-20231027061813.jpg,THE PARK,En Construcción,381000,Santa Mariana de Paredes 494,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2989-the-park-cercado-de-lima-lima-lima-inversiones-tierra-blanca,https://e.nexoinmobiliario.pe/customers/inversiones-tierra-blanca-sac/2989-the-park/departamentos-cercado-de-lima-64f75582b0fb8_xm.jpg,Cercado de lima,150101
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/logo-108-20231027061800.jpg,Albamar | Arenales,En Construcción,260000,Av. Arenales 1093,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2996-albamar-arenales-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/2996-albamar-arenales/departamentos-cercado-de-lima-676f135c9447e_xm.jpg,Cercado de lima,150101
QUATRO INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/ef-grupo-inmobiliario/logo-27-20231027061758.jpg,Urban Tower 3,En Construcción,349967,Avenida Mariano Cornejo 1824,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3001-urban-tower-3-cercado-de-lima-lima-lima-quatro-inmobiliaria,https://e.nexoinmobiliario.pe/customers/ef-grupo-inmobiliario/3001-urban-tower-3/departamentos-cercado-de-lima-67914797d1a04_xm.jpg,Cercado de lima,150101
MARTE,https://e.nexoinmobiliario.pe/customers/marte-grupo-inmobiliario/logo-60-20231027061759.jpg,Amatista,En Planos,217566,Av. Brasil 325,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3008-amatista-cercado-de-lima-lima-lima-marte,https://e.nexoinmobiliario.pe/customers/marte-grupo-inmobiliario/3008-amatista/departamentos-cercado-de-lima-67b4a7d73c1d0_xm.jpg,Cercado de lima,150101
